correct,dataset,declared,evaluation_seconds,false_links,fraction,lambda,missing_matches,model_loaded_from_checkpoint,model_path,n_fit_pairs,n_holdout,n_labelled_a,n_train_pairs_total,n_true_records,n_validation_pairs,prediction_path,psi,score_path,seed,threshold,train_seconds_this_run,unmatched_abstentions,validation_f1
463,DBLP,472,13.351602792739868,9,0.8,0.019067796610169493,8,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p80/seed_51,75526,524,2092,94408,474,18882,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p80_seed51.csv,0.016877637130801686,sigmoid(CrossEncoder.predict),51,0.8000000000000002,570.8603515625,44,0.9316129032258065
238,DBLP,240,6.700426816940308,2,0.9,0.008333333333333333,4,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p90/seed_42,84581,262,2354,105727,242,21146,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p90_seed42.csv,0.01652892561983471,sigmoid(CrossEncoder.predict),42,0.8000000000000002,629.5701732635498,18,0.9516129032258065
234,DBLP,239,6.711273908615112,5,0.9,0.02092050209205021,3,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p90/seed_43,84736,262,2354,105920,238,21184,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p90_seed43.csv,0.012605042016806723,sigmoid(CrossEncoder.predict),43,0.9000000000000002,594.4947094917297,20,0.9414466130884042
240,DBLP,244,6.85375452041626,4,0.9,0.01639344262295082,3,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p90/seed_44,84448,262,2354,105560,245,21112,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p90_seed44.csv,0.012244897959183673,sigmoid(CrossEncoder.predict),44,0.40000000000000013,618.6069207191467,15,0.9411764705882353
245,DBLP,246,6.664458751678467,1,0.9,0.0040650406504065045,2,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p90/seed_45,84368,262,2354,105461,248,21093,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p90_seed45.csv,0.008064516129032258,sigmoid(CrossEncoder.predict),45,0.45000000000000007,589.5839812755585,14,0.9426605504587156
231,DBLP,237,6.599832773208618,6,0.9,0.02531645569620253,2,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p90/seed_46,84906,262,2354,106133,234,21227,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p90_seed46.csv,0.008547008547008548,sigmoid(CrossEncoder.predict),46,0.40000000000000013,681.2410893440247,23,0.94211123723042
240,DBLP,244,6.584665775299072,4,0.9,0.01639344262295082,3,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p90/seed_47,84406,262,2354,105508,246,21102,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p90_seed47.csv,0.012195121951219513,sigmoid(CrossEncoder.predict),47,0.5500000000000002,683.2121863365173,15,0.9340909090909091
238,DBLP,241,7.263962984085083,3,0.9,0.012448132780082987,1,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p90/seed_48,84607,262,2354,105759,241,21152,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p90_seed48.csv,0.004149377593360996,sigmoid(CrossEncoder.predict),48,0.9000000000000002,605.6969034671783,20,0.9199549041713642
239,DBLP,239,6.587491750717163,0,0.9,0.0,2,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p90/seed_49,84603,262,2354,105754,241,21151,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p90_seed49.csv,0.008298755186721992,sigmoid(CrossEncoder.predict),49,0.25000000000000006,721.8707165718079,21,0.9435665914221218
234,DBLP,241,6.549617290496826,7,0.9,0.029045643153526972,1,False,/home/ahmeda/er_paper/models/analysis18_section7/cross_encoder/DBLP/f_0p90/seed_50,84714,262,2354,105893,238,21179,/home/ahmeda/er_paper/results/analysis18_section7/predictions/fraction_DBLP_f0p90_seed50.csv,0.004201680672268907,sigmoid(CrossEncoder.predict),50,0.1,702.390786409378,20,0.9280898876404494
