dataset,seed,seed_role,column,side,scorer,lambda,psi,declared,correct,false_links,missing_matches,n_true_records,n_unmatched_records,abstained_unmatched,lr_threshold
DBLP,51,diagnostic,k=5,bi-encoder,LR,0.012692656391659111,0.08110367892976589,1103,1089,14,97,1196,112,108,0.5500000000000002
DBLP,51,diagnostic,k=50,string,MEC,0.05016181229773463,0.005852842809364548,1236,1174,62,7,1196,112,65,
DBLP,51,diagnostic,k=50,string,LR,0.02716914986853637,0.06438127090301003,1141,1110,31,77,1196,112,90,0.40000000000000013
DBLP,51,diagnostic,k=50,bi-encoder,MEC,0.04715447154471545,0.006688963210702341,1230,1172,58,8,1196,112,70,
DBLP,51,diagnostic,k=50,bi-encoder,LR,0.012750455373406194,0.08444816053511706,1098,1084,14,101,1196,112,109,0.5000000000000001
ECOM,42,primary,forced-1:1,string,MEC,0.2549019607843137,0.24584103512014788,408,304,104,133,541,0,0,
ECOM,42,primary,forced-1:1,string,LR,0.2835820895522388,0.009242144177449169,536,384,152,5,541,0,0,0.40000000000000013
ECOM,42,primary,forced-1:1,bi-encoder,MEC,0.24022346368715083,0.33826247689463956,358,272,86,183,541,0,0,
ECOM,42,primary,forced-1:1,bi-encoder,LR,0.2857142857142857,0.0036968576709796672,539,385,154,2,541,0,0,0.3500000000000001
ECOM,42,primary,k=5,string,MEC,0.3897550111358575,0.17005545286506468,449,274,175,92,541,0,0,
ECOM,42,primary,k=5,string,LR,0.3905882352941176,0.2144177449168207,425,259,166,116,541,0,0,0.25000000000000006
ECOM,42,primary,k=5,bi-encoder,MEC,0.273972602739726,0.19038817005545286,438,318,120,103,541,0,0,
ECOM,42,primary,k=5,bi-encoder,LR,0.26548672566371684,0.1645101663585952,452,332,120,89,541,0,0,0.20000000000000004
ECOM,42,primary,k=50,string,MEC,0.4406779661016949,0.12754158964879853,472,264,208,69,541,0,0,
ECOM,42,primary,k=50,string,LR,0.3543046357615894,0.4417744916820702,302,195,107,239,541,0,0,0.15000000000000002
ECOM,42,primary,k=50,bi-encoder,MEC,0.3193116634799235,0.033271719038817,523,356,167,18,541,0,0,
