dataset,ida,n_valid_matches,best_true_idb,best_true_similarity,best_valid_rank
ECOM,28138,1,204327516,0.7602254152297974,2
ECOM,28148,1,203131413,0.815082311630249,1
ECOM,28149,1,203131412,0.8475068807601929,1
ECOM,28175,1,204318286,0.8448413610458374,1
ECOM,28180,1,202916534,0.8755491375923157,1
ECOM,28190,1,208464837,0.8666672110557556,1
ECOM,28205,1,204419878,0.7807343006134033,9
ECOM,28225,1,205592439,0.7484400272369385,2
ECOM,28256,1,204563763,0.8171355128288269,1
ECOM,28272,1,206160056,0.838729202747345,1
ECOM,28304,1,203405814,0.9221357107162476,1
ECOM,28340,1,208456215,0.6922082901000977,5
ECOM,28350,1,204206935,0.7151599526405334,26
ECOM,28366,1,204254738,0.8146231174468994,1
ECOM,28397,1,203087319,0.9555546641349792,1
ECOM,28433,1,203142438,0.9318504333496094,1
ECOM,28500,1,203445749,0.9099203944206238,2
ECOM,28554,1,204443417,0.8231773972511292,1
ECOM,28650,1,203131635,0.8402675986289978,1
ECOM,28951,1,206722263,0.7139633893966675,4
ECOM,28963,1,202106724,0.9446736574172974,1
ECOM,28971,1,204679144,0.9039517641067505,1
ECOM,28978,1,204519849,0.8055738210678101,7
ECOM,28979,1,204559213,0.927299976348877,1
ECOM,28980,1,204559211,0.9378162026405334,1
ECOM,28981,1,204559214,0.9354575276374817,1
ECOM,28982,1,204559208,0.9552242755889893,1
ECOM,29007,1,204792885,0.766142725944519,3
ECOM,29008,1,204792886,0.8193885087966919,2
ECOM,29029,1,204679142,0.8385250568389893,1
ECOM,29032,1,205145879,0.898791491985321,1
ECOM,29072,1,208456130,0.6304137110710144,3
ECOM,29099,1,204222472,0.886783242225647,1
ECOM,29133,1,206887553,0.8422954082489014,1
ECOM,29228,1,204793090,0.7999140024185181,1
ECOM,29231,1,204206936,0.6542825698852539,6
ECOM,29238,1,204206937,0.7883322834968567,4
ECOM,29272,1,203900792,0.7332147359848022,2
ECOM,29273,1,202070807,0.9552375078201294,1
ECOM,29304,1,206901618,0.6426936388015747,1
ECOM,29338,1,202143947,0.8351854681968689,1
ECOM,29339,1,203888987,0.7583694458007812,1
ECOM,29392,1,204295637,0.8790462613105774,1
ECOM,29464,1,204793355,0.7004736661911011,1
ECOM,29493,1,204549804,0.8585940599441528,1
ECOM,29574,1,204559209,0.9543484449386597,1
ECOM,29612,1,205106045,0.8255476951599121,2
ECOM,29677,1,204884519,0.7740105390548706,1
ECOM,29758,1,201953029,0.7957015037536621,4
ECOM,29806,1,202755491,0.7986307144165039,1
ECOM,29816,1,208455891,0.9071746468544006,1
ECOM,29820,1,202882380,0.8389126658439636,1
ECOM,29823,1,204792884,0.8949664831161499,1
ECOM,29825,1,205664966,0.8713440895080566,2
ECOM,29827,1,205664963,0.3564295470714569,57
ECOM,29829,1,205664964,0.6692121028900146,9
ECOM,29861,1,204792876,0.702670693397522,1
